date,speaker,title,timestamp
2023-01-20,Governor Christopher J. Waller,Economic Outlook,13:00:00-05:00
2023-01-19,Vice Chair Lael Brainard,Economic Outlook,13:15:00-05:00
2023-01-10,Chair Jerome H. Powell,Central Bank Independence,09:00:00-05:00
2023-01-06,Governor Lisa D. Cook,Inflation - What Lies Ahead,11:15:00-05:00
2023-02-27,Governor Philip N. Jefferson,Recent Inflation and the Dual Mandate,10:30:00-05:00
2023-02-24,Governor Philip N. Jefferson,"Discussion of the paper ""Managing Disinflations""",10:15:00-05:00
2023-02-16,Governor Lisa D. Cook,Welcoming Remarks,16:00:00-05:00
2023-02-13,Governor Michelle W. Bowman,"Independence, Predictability, and Tailoring in Banking Supervision and Regulation",08:00:00-05:00
2023-02-10,Governor Christopher J. Waller,Digital Assets,12:30:00-05:00
2023-02-08,Governor Christopher J. Waller,Economic Outlook,13:45:00-05:00
2023-02-08,Vice Chair for Supervision Michael S. Barr,Conversation with Students,10:00:00-05:00
2023-02-07,Vice Chair for Supervision Michael S. Barr,Financial Inclusion,14:00:00-05:00
2023-02-07,Chair Jerome H. Powell,"Conversation with David Rubenstein, Chairman of the Economic Club of Washington, D.C.",12:40:00-05:00
2023-03-29,Vice Chair for Supervision Michael S. Barr,Brief remarks on the Community Reinvestment Act,08:30:00-04:00
2023-03-31,Governor Christopher J. Waller,"""The Unstable Phillips Curve""",22:00:00-04:00
2023-03-31,Governor Lisa D. Cook,The U.S. Economic Outlook and Monetary Policy,17:45:00-04:00
2023-03-27,Governor Philip N. Jefferson,Implementation and Transmission of Monetary Policy,17:00:00-04:00
2023-03-14,Governor Michelle W. Bowman,The Innovation Imperative: Modernizing the U.S. Banking System,17:20:00-04:00
2023-03-09,Vice Chair for Supervision Michael S. Barr,Crypto,10:00:00-05:00
2023-03-03,Governor Michelle W. Bowman,Panel on Design Issues for Central Bank Facilities in the Future,15:00:00-05:00
2023-03-02,Governor Christopher J. Waller,Economic Outlook,16:00:00-05:00
2023-04-21,Governor Lisa D. Cook,Important Questions for Economic Research,16:35:00-04:00
2023-04-20,Governor Christopher J. Waller,Financial Innovation,12:00:00-04:00
